OBJECTID;Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Auteur du chantier;Date de création;Dernier éditeur;Date dernière MAJ;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d
1474;CP000194;;75006;2;2;CPCU;TRAVAUX_URGENCE;Affaissement de chaussée;Place André Honnorat;n°7;2017-01-23T04:00:00+01:00;2017-05-15T06:00:00+02:00;SENS_UNIQUE;d'Auguste Comte depuis St Michel vers Observatoire et mise en sens unique d'Auguste Comte depuis Observatoire vers Assas;1;1;;Esri_Anonymous;2017-01-26T17:59:35+01:00;Esri_Anonymous;2017-03-15T16:57:46+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.337733735836021, 48.84425929636676], [2.337947981685838, 48.844209321973814], [2.337920912392342, 48.84414075945618], [2.337718428393666, 48.84418723024581], [2.337733735836021, 48.84425929636676]]]}";48.8441995307, 2.3378301857
1201;CP000173;;75013;8;3;UGC GOBELINS;REHABILITATION_IMMEUBLE;;Avenue des Gobelins;N°66 bis;2017-03-01T02:00:00+01:00;2018-05-30T08:00:00+02:00;RESTREINTE;Neutralisation du couloir de bus;2;2;;Esri_Anonymous;2017-01-10T15:28:20+01:00;CHANTIERP;2017-02-13T11:44:02+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.354309476682923, 48.83282457492207], [2.354311249422938, 48.832826964225646], [2.354307644993336, 48.832826944767], [2.354230586756888, 48.8329371800424], [2.3544298546181333, 48.833000124323405], [2.3545123928299763, 48.83288397006855], [2.354309476682923, 48.83282457492207]]]}";48.8329115849, 2.35437115004
932;CP000141;;75011;7;3;Monuments nationaux;TRAVAUX_OUVRAGE;Rénovation Colonne de Juillet;Place de la Bastille;;2016-08-01T06:00:00+02:00;2018-04-30T06:00:00+02:00;RESTREINTE;Neutralisation d'une file au centre de la place;2;2;;Esri_Anonymous;2016-12-23T15:16:21+01:00;CHANTIERP;2017-02-13T11:45:05+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.368979411134884, 48.85338712670188], [2.369073028327619, 48.85339832806169], [2.369201056917812, 48.85339662339139], [2.369316667945493, 48.85337819713073], [2.369390958267709, 48.85334765456486], [2.369443773113256, 48.85330391140858], [2.3694787025952833, 48.85324817555072], [2.3694938156093253, 48.85319114631678], [2.369490843167843, 48.85313878115188], [2.369475280460906, 48.85308396995307], [2.369438040971709, 48.85303261314731], [2.369386263048454, 48.852990698452516], [2.369309160752537, 48.85295578841255], [2.369230052662307, 48.852937524656326], [2.369132759778192, 48.852932253247964], [2.36901546200871, 48.85294115259021], [2.368941301715914, 48.85296098792636], [2.368875983035275, 48.85299514617528], [2.368830437327377, 48.85303416896456], [2.368795579368022, 48.85308395490812], [2.368773268342683, 48.853139757146764], [2.368781618640349, 48.85319453039], [2.368799041223848, 48.85324459211592], [2.3688290410724813, 48.853298290610844], [2.368864650154055, 48.85333536087958], [2.368929147989856, 48.853369014872854], [2.368979411134884, 48.85338712670188]]]}";48.8531673595, 2.36913578512
1028;CP000160;;75018;5;2;CPCU;RACCORDEMENT_RESEAU;;7 av de la Porte d'Aubervilliers;;2017-01-16T04:00:00+01:00;2017-03-24T02:00:00+01:00;RESTREINTE;Neutralisation de la voie bus;2;2;;Esri_Anonymous;2016-12-26T17:43:10+01:00;Esri_Anonymous;2017-03-06T17:31:09+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.37020139796084, 48.89958801492433], [2.370061561674576, 48.89958668505271], [2.370056908949489, 48.89967291472445], [2.370151564921406, 48.89975431397604], [2.370169608903092, 48.89975440886798], [2.370196675557743, 48.89975455120433], [2.37020139796084, 48.89958801492433]]]}";48.8996598206, 2.37013632208
945;CP000139;;75013;8;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01T02:00:00+01:00;2020-12-31T02:00:00+01:00;RESTREINTE;Réduction de la circulation selon les phases;2;2;;Esri_Anonymous;2016-12-23T15:08:32+01:00;CHANTIERP;2017-02-13T11:49:04+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.386040410939927, 48.82726045950963], [2.388913322878129, 48.82505168626667], [2.381913601308459, 48.82268480304112], [2.379725013465009, 48.824789551026136], [2.382560534273685, 48.82574947645587], [2.386040410939927, 48.82726045950963]]]}";48.8249361129, 2.3842583549
2001;CP000228;;75006;2;2;SNCF;ENTRETIEN_RESEAU;Travaux Castor;Quai des Grands Augustins;entre la rue des Grands Augustins et la rue Dauphine;2017-07-10T04:00:00+02:00;2017-08-18T04:00:00+02:00;RESTREINTE;Neutralisation de la voie bus;2;1;;Esri_Anonymous;2017-03-02T16:11:03+01:00;Esri_Anonymous;2017-03-02T16:11:03+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.341612725569105, 48.8553371438457], [2.341484390607368, 48.85536261242622], [2.340592712087107, 48.85601088674453], [2.340633651752768, 48.85605275417162], [2.341612725569105, 48.8553371438457]]]}";48.8556938591, 2.34107752567
1281;CP000177;;75020;7;1;Eau de Paris;TRAVAUX_URGENCE;Affaissement;Rue de Ménilmontant;entre rue Julien Lacroix et rue sOrbier;2016-12-14T04:00:00+01:00;2017-03-28T06:00:00+02:00;SENS_UNIQUE;depuis rue Julien Lacroix vers rue Sorbier;1;2;;Esri_Anonymous;2017-01-11T16:59:39+01:00;Esri_Anonymous;2017-02-13T15:59:26+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.389496658980272, 48.86866925081434], [2.38950780042908, 48.86864194348528], [2.388387567592085, 48.86835901240737], [2.388370974717593, 48.86838986125847], [2.389496658980272, 48.86866925081434]]]}";48.8685114925, 2.38892664125
929;CP000137;;75013;8;3;Eiffage immobilier;REHABILITATION_IMMEUBLE;;56 rue Albert;;2016-02-22T03:00:00+01:00;2017-10-30T03:00:00+01:00;RESTREINTE;Circulation déviée dans le stationnement;2;2;;Esri_Anonymous;2016-12-23T15:03:16+01:00;Esri_Anonymous;2017-02-13T12:45:04+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.371733917618025, 48.8260160072644], [2.371839923753409, 48.825892230162445], [2.371768972584739, 48.82587341579056], [2.371670194399145, 48.825995445551584], [2.371733917618025, 48.8260160072644]]]}";48.8259436101, 2.37175398199
940;CP000152;;75010;6;2;RATP L11;TRAVAUX_OUVRAGE;Prolongement L11 : adaptation des stations;Rue du Faubourg du Temple;;2016-07-01T06:00:00+02:00;2022-12-31T03:00:00+01:00;RESTREINTE;Réduction de la circulation selon les phases;2;2;;Esri_Anonymous;2016-12-23T16:00:41+01:00;CHANTIERP;2017-02-13T11:45:05+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3694481609771803, 48.8695466388196], [2.369437095232922, 48.8695668057601], [2.369728191859886, 48.869655191713804], [2.370944655946475, 48.87002803473429], [2.371016267074387, 48.869922522942446], [2.370139291545317, 48.86966330397134], [2.369508636777523, 48.86946724357522], [2.369499460953473, 48.86948028242347], [2.3694481609771803, 48.8695466388196]]]}";48.8697493079, 2.37023289726
930;CP000138;;75013;8;3;Coallia Habitat;REHABILITATION_IMMEUBLE;;Rues Clisson / Jeanne d'Arc;;2016-01-04T05:00:00+01:00;2017-06-30T10:00:00+02:00;RESTREINTE;Reste une file dans chaque sens;2;2;;Esri_Anonymous;2016-12-23T15:06:26+01:00;Esri_Anonymous;2017-02-13T13:00:38+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.365826347548644, 48.83151200737084], [2.365939226364453, 48.83156614624591], [2.366366586769959, 48.831249546605434], [2.366269671672696, 48.83106818412673], [2.366182884328607, 48.831091519776606], [2.366203915801307, 48.831140413081535], [2.3661681441875873, 48.83126634131833], [2.365826347548644, 48.83151200737084]]]}";48.8313300922, 2.36613413614
